"#","Tag","Games with this tag","Votes for this tag","Tag weight","Price (median)","Userscore (median)","Owners (median)","Playtime (median)"
"153","4X","69","6,666","97","$19.99","82.5%","nan","00:00"
"259","Spectacle fighter","21","2,820","134","$19.99","88%","nan","00:00"
"304","LEGO","10","2,014","201","$19.99","85%","nan","00:00"
"310","Benchmark","8","670","84","$19.99","82%","nan","00:00"
"336","Cycling","2","47","24","$17.49","83%","nan","00:00"
"272","TrackIR","18","2,374","132","$16.49","82.5%","nan","00:00"
"110","Base-Building","120","18,258","152","$14.99","79%","nan","00:00"
"136","City Builder","84","11,782","140","$14.99","75%","nan","00:00"
"142","Kickstarter","77","4,070","53","$14.99","82%","nan","00:00"
"143","Grand Strategy","76","10,986","145","$14.99","84%","nan","00:00"
"170","CRPG","51","2,349","46","$14.99","84%","nan","00:00"
"195","Hex Grid","41","2,549","62","$14.99","83%","nan","00:00"
"200","Wargame","39","1,155","30","$14.99","79%","nan","00:00"
"228","Trains","29","2,343","81","$14.99","81%","nan","00:00"
"242","Lore-Rich","25","7,534","301","$14.99","89.5%","nan","00:00"
"299","Batman","11","4,794","436","$14.99","87%","nan","00:00"
"314","Dynamic Narration","7","1,569","224","$14.99","88%","nan","00:00"
"330","Investigation","3","294","98","$14.99","73%","nan","00:00"
"339","Hardware","1","15","15","$14.99","83%","nan","00:00"
"250","Quick-Time Events","23","4,449","193","$13.99","84%","nan","00:00"
"146","Resource Management","76","7,554","99","$13.49","78%","nan","00:00"
"108","Turn-Based Combat","121","5,348","44","$12.99","79%","nan","00:00"
"115","Futuristic","113","12,922","114","$12.99","82%","nan","00:00"
"157","Real-Time with Pause","64","5,291","83","$12.99","86%","nan","00:00"
"255","Warhammer 40K","23","3,066","133","$12.99","82.5%","nan","00:00"
"260","Programming","21","625","30","$12.99","88%","nan","00:00"
"204","Comic Book","37","3,326","90","$12.49","87%","nan","00:00"
"240","Hunting","27","4,832","179","$12.49","68.5%","nan","00:00"
"323","Voice Control","5","107","21","$12.49","79.5%","nan","00:00"
"63","Building","231","61,638","267","$11.99","76%","nan","00:00"
"95","JRPG","149","12,670","85","$11.99","84%","nan","00:00"
"125","Economy","100","8,158","82","$11.99","78%","nan","00:00"
"332","Bikes","3","105","35","$11.99","83%","nan","00:00"
"236","Character Action Game","27","2,492","92","$11.49","86.5%","nan","00:00"
"225","Party-Based RPG","31","1,472","47","$10.99","82%","nan","00:00"
"329","Faith","4","292","73","$10.49","96.5%","nan","00:00"
"4","Singleplayer","2546","270,148","106","$9.99","84%","nan","00:00"
"10","Great Soundtrack","1278","126,600","99","$9.99","87%","nan","00:00"
"11","Atmospheric","1113","142,209","128","$9.99","84%","nan","00:00"
"15","Open World","817","244,203","299","$9.99","79%","nan","00:00"
"16","Story Rich","813","106,789","131","$9.99","87%","nan","00:00"
"20","Sci-fi","718","78,403","109","$9.99","83%","nan","00:00"
"21","First-Person","712","169,743","238","$9.99","81%","nan","00:00"
"27","Fantasy","625","58,228","93","$9.99","81%","nan","00:00"
"29","Female Protagonist","609","40,945","67","$9.99","84%","nan","00:00"
"35","Sandbox","491","126,581","258","$9.99","81%","nan","00:00"
"41","Third Person","403","83,083","206","$9.99","81%","nan","00:00"
"43","Exploration","375","63,436","169","$9.99","81%","nan","00:00"
"44","Turn-Based","364","27,313","75","$9.99","82%","nan","00:00"
"49","Rogue-like","334","23,325","70","$9.99","82%","nan","00:00"
"50","Tactical","323","56,880","176","$9.99","81%","nan","00:00"
"58","Local Co-Op","265","17,631","67","$9.99","85%","nan","00:00"
"59","Local Multiplayer","260","11,435","44","$9.99","84%","nan","00:00"
"61","Replay Value","242","26,093","108","$9.99","85%","nan","00:00"
"64","Turn-Based Strategy","221","21,411","97","$9.99","81%","nan","00:00"
"65","RTS","220","23,131","105","$9.99","82%","nan","00:00"
"68","Crafting","213","71,641","336","$9.99","75%","nan","00:00"
"69","Action RPG","210","30,705","146","$9.99","81%","nan","00:00"
"71","Dark","205","25,705","125","$9.99","85%","nan","00:00"
"74","Management","201","15,163","75","$9.99","76%","nan","00:00"
"75","Hack and Slash","200","21,490","107","$9.99","80%","nan","00:00"
"76","Historical","198","25,749","130","$9.99","83%","nan","00:00"
"77","War","196","33,876","173","$9.99","82%","nan","00:00"
"79","Stealth","190","48,548","256","$9.99","84%","nan","00:00"
"80","Rogue-lite","180","7,523","42","$9.99","82%","nan","00:00"
"82","Realistic","169","32,679","193","$9.99","80%","nan","00:00"
"83","Moddable","166","47,323","285","$9.99","91%","nan","00:00"
"85","Isometric","162","8,688","54","$9.99","83%","nan","00:00"
"90","Walking Simulator","155","16,877","109","$9.99","75%","nan","00:00"
"91","Top-Down","154","7,808","51","$9.99","84%","nan","00:00"
"92","Dungeon Crawler","152","10,319","68","$9.99","81%","nan","00:00"
"93","Fighting","149","17,506","117","$9.99","82%","nan","00:00"
"99","Procedural Generation","141","8,536","61","$9.99","81.5%","nan","00:00"
"100","Medieval","138","23,481","170","$9.99","83%","nan","00:00"
"101","Post-apocalyptic","136","41,402","304","$9.99","80%","nan","00:00"
"102","Military","136","27,159","200","$9.99","85%","nan","00:00"
"106","4 Player Local","126","4,642","37","$9.99","83%","nan","00:00"
"109","Beat 'em up","120","6,988","58","$9.99","81.5%","nan","00:00"
"111","Cyberpunk","118","11,583","98","$9.99","83%","nan","00:00"
"113","Metroidvania","116","7,762","67","$9.99","84%","nan","00:00"
"114","VR Only","116","116","1","$9.99","78%","nan","00:00"
"116","World War II","111","16,461","148","$9.99","80%","nan","00:00"
"119","Dark Fantasy","109","21,166","194","$9.99","81%","nan","00:00"
"120","Perma Death","105","7,888","75","$9.99","82%","nan","00:00"
"122","Dating Sim","102","10,505","103","$9.99","88%","nan","00:00"
"127","Turn-Based Tactics","97","4,323","45","$9.99","82%","nan","00:00"
"130","Magic","95","12,499","132","$9.99","82%","nan","00:00"
"132","Surreal","89","4,550","51","$9.99","85.5%","nan","00:00"
"135","Romance","85","6,598","78","$9.99","89%","nan","00:00"
"137","Multiple Endings","82","14,963","182","$9.99","89%","nan","00:00"
"140","Steampunk","79","7,984","101","$9.99","82%","nan","00:00"
"145","Level Editor","76","3,875","51","$9.99","87%","nan","00:00"
